wohnflaeche_qm,preis_usd
109.6,221900
238.8,538000
71.5,180000
182.1,604000
156.1,510000
503.5,1225000
159.3,257500
98.5,291850
165.4,229500
175.6,323000
330.7,662500
107.8,468000
132.9,310000
127.3,400000
168.2,530000
274.1,650000
175.6,395000
148.6,485000
111.5,189000
116.1,230000
150.5,385000
283.4,2000000
210.9,285000
99.4,252700
227.6,329000
158.9,233000
227.6,937000
130.1,667000
141.2,438000
238.8,719000
215.5,580500
110.6,280000
216.5,687500
101.3,535000
191.4,322500
213.7,696000
154.2,550000
219.3,640000
113.3,240000
243.4,605000
238.8,625000
392.1,775000
334.0,861990
145.9,685000
118.9,309000
293.6,488000
92.0,210490
212.7,785000
116.1,450000
255.8,1350000
110.6,228000
292.6,345000
131.0,600000
183.9,585000
253.6,920000
262.9,885000
209.0,292500
224.8,301000
301.9,951000
171.9,430000
199.7,650000
117.1,289000
234.0,505000
143.1,549000
154.2,425000
257.3,317625
252.7,975000
208.1,287000
92.9,204000
297.3,1325000
443.1,1040000
117.1,325000
255.5,571000
221.1,360000
166.3,349000
318.7,832500
163.5,380000
96.6,480000
131.0,410000
320.5,720000
218.3,390000
176.5,360000
187.7,355000
156.1,356000
89.2,315000
198.8,940000
247.1,305000
257.3,461000
149.6,215000
95.7,335000
183.9,243500
327.0,1099880
111.5,153000
146.8,430000
146.8,700000
306.6,905000
182.1,247500
107.8,199000
168.2,314000
215.5,437500
192.3,850830
183.9,555000
203.5,699950
271.3,1088000
112.4,290000
217.4,375000
155.1,460000
115.2,188500
291.7,680000
188.6,470000
214.6,597750
117.1,570000
143.1,272500
193.2,329950
300.1,480000
406.9,740500
147.7,518500
81.8,205425
145.9,171800
149.6,535000
223.0,660000
134.7,391500
71.5,395000
195.1,445000
270.3,770000
255.5,1450000
195.1,445000
200.7,260000
215.5,822500
192.3,430000
98.5,212000
186.7,660500
367.0,784000
186.7,453246
198.8,675000
122.6,199000
187.7,220000
240.6,452000
110.6,382500
108.7,519950
103.1,665000
262.0,527700
149.6,205000
98.5,420000
188.6,500000
341.0,921500
236.9,890000
224.8,430000
210.0,258000
132.9,511000
126.3,532170
103.1,560000
116.1,282950
481.2,2250000
65.0,350000
109.6,215000
367.9,650000
245.3,320000
118.0,247000
163.5,320000
191.4,255000
165.4,438000
315.9,900000
177.4,441000
187.7,420000
146.8,370000
124.5,269950
249.0,807100
249.0,653000
127.3,371500
144.9,284000
200.7,272000
124.5,313000
360.5,917500
240.6,673000
104.1,425000
183.0,399950
113.3,385000
181.2,269950
125.4,330000
155.1,260000
221.1,470000
226.7,589000
97.5,163500
290.8,835000
380.0,1095000
138.4,269000
176.5,560000
123.6,615000
207.2,585188
153.3,305000
110.6,166950
198.8,799000
202.5,400000
98.5,230000
157.0,256883
183.0,423000
199.7,465000
177.4,440000
125.4,385000
79.9,210000
180.2,297000
93.8,470000
120.8,226500
84.5,274250
230.4,840000
226.7,677900
93.8,425000
83.6,180250
213.7,464000
144.0,320000
118.0,625504
208.1,592500
