wohnflaeche_qm,qualitaet,baujahr,preis_usd
109.6,7,1955,221900
238.8,7,1951,538000
71.5,6,1933,180000
182.1,7,1965,604000
156.1,8,1987,510000
503.5,11,2001,1225000
159.3,7,1995,257500
98.5,7,1963,291850
165.4,7,1960,229500
175.6,7,2003,323000
330.7,8,1965,662500
107.8,7,1942,468000
132.9,7,1927,310000
127.3,7,1977,400000
168.2,7,1900,530000
274.1,9,1979,650000
175.6,7,1994,395000
148.6,7,1916,485000
111.5,7,1921,189000
116.1,7,1969,230000
150.5,7,1947,385000
283.4,9,1968,2000000
210.9,8,1995,285000
99.4,7,1985,252700
227.6,8,1985,329000
158.9,6,1941,233000
227.6,8,1915,937000
130.1,8,1909,667000
141.2,7,1948,438000
238.8,8,2005,719000
215.5,8,2003,580500
110.6,7,2005,280000
216.5,7,1929,687500
101.3,8,1929,535000
191.4,7,1981,322500
213.7,8,1930,696000
154.2,5,1933,550000
219.3,8,1904,640000
113.3,7,1969,240000
243.4,8,1996,605000
238.8,9,2000,625000
392.1,8,1984,775000
334.0,9,2014,861990
145.9,7,1922,685000
118.9,6,1959,309000
293.6,8,2003,488000
92.0,6,1966,210490
212.7,9,1981,785000
116.1,7,1953,450000
255.8,9,1953,1350000
110.6,7,1955,228000
292.6,8,1966,345000
131.0,7,1950,600000
183.9,7,1981,585000
253.6,8,1927,920000
262.9,9,1995,885000
209.0,7,2008,292500
224.8,8,2003,301000
301.9,8,1968,951000
171.9,8,1991,430000
199.7,8,1959,650000
117.1,7,1954,289000
234.0,8,1973,505000
143.1,8,2014,549000
154.2,7,1979,425000
257.3,7,1925,317625
252.7,10,1989,975000
208.1,7,2005,287000
92.9,7,1968,204000
297.3,8,1965,1325000
443.1,11,1973,1040000
117.1,7,1972,325000
255.5,7,1916,571000
221.1,8,2005,360000
166.3,7,1965,349000
318.7,10,1986,832500
163.5,7,1956,380000
96.6,7,1941,480000
131.0,7,1956,410000
320.5,10,2002,720000
218.3,8,2003,390000
176.5,7,1992,360000
187.7,7,1948,355000
156.1,8,1964,356000
89.2,6,1952,315000
198.8,9,1925,940000
247.1,7,1961,305000
257.3,9,2006,461000
149.6,7,1979,215000
95.7,7,2006,335000
183.9,7,1988,243500
327.0,10,2001,1099880
111.5,7,1962,153000
146.8,8,1939,430000
146.8,8,1939,700000
306.6,7,1946,905000
182.1,7,1967,247500
107.8,7,1975,199000
168.2,7,1980,314000
215.5,9,1992,437500
192.3,9,1910,850830
183.9,7,1929,555000
203.5,8,1983,699950
271.3,8,1950,1088000
112.4,7,1954,290000
217.4,8,1978,375000
155.1,7,1939,460000
115.2,8,1985,188500
291.7,10,1991,680000
188.6,7,1942,470000
214.6,8,1984,597750
117.1,6,1905,570000
143.1,7,1980,272500
193.2,7,1971,329950
300.1,9,2001,480000
406.9,8,1900,740500
147.7,8,2010,518500
81.8,6,1945,205425
145.9,6,1950,171800
149.6,7,1925,535000
223.0,8,1964,660000
134.7,7,1987,391500
71.5,6,1953,395000
195.1,7,1924,445000
270.3,9,1990,770000
255.5,8,1914,1450000
195.1,8,1967,445000
200.7,8,1978,260000
215.5,7,1926,822500
192.3,7,2004,430000
98.5,7,1986,212000
186.7,8,1986,660500
367.0,9,1989,784000
186.7,8,2014,453246
198.8,9,2005,675000
122.6,7,1956,199000
187.7,7,1968,220000
240.6,8,1968,452000
110.6,6,1981,382500
108.7,8,2014,519950
103.1,7,1925,665000
262.0,8,1968,527700
149.6,7,1962,205000
98.5,7,1923,420000
188.6,8,1961,500000
341.0,9,1994,921500
236.9,8,1905,890000
224.8,7,2007,430000
210.0,8,1960,258000
132.9,7,1947,511000
126.3,8,1990,532170
103.1,7,1947,560000
116.1,7,1954,282950
481.2,12,2006,2250000
65.0,7,1942,350000
109.6,7,1967,215000
367.9,9,1996,650000
245.3,8,1967,320000
118.0,7,1916,247000
163.5,8,1968,320000
191.4,7,1962,255000
165.4,7,1962,438000
315.9,10,2000,900000
177.4,7,1979,441000
187.7,7,1975,420000
146.8,7,1976,370000
124.5,5,1949,269950
249.0,9,1999,807100
249.0,8,1979,653000
127.3,7,1964,371500
144.9,7,1954,284000
200.7,7,1978,272000
124.5,7,1955,313000
360.5,10,1984,917500
240.6,8,1980,673000
104.1,8,2008,425000
183.0,7,1986,399950
113.3,6,1901,385000
181.2,7,1975,269950
125.4,7,1949,330000
155.1,7,1988,260000
221.1,7,1925,470000
226.7,7,1961,589000
97.5,7,1996,163500
290.8,9,1993,835000
380.0,10,1986,1095000
138.4,8,1969,269000
176.5,8,1987,560000
123.6,6,1901,615000
207.2,8,1975,585188
153.3,7,1977,305000
110.6,6,1959,166950
198.8,8,1959,799000
202.5,7,1962,400000
98.5,7,1948,230000
157.0,8,2003,256883
183.0,7,1920,423000
199.7,8,2007,465000
177.4,7,1997,440000
125.4,7,1969,385000
79.9,6,1943,210000
180.2,8,1994,297000
93.8,7,1952,470000
120.8,7,1976,226500
84.5,6,1962,274250
230.4,9,1966,840000
226.7,8,2010,677900
93.8,7,1915,425000
